!;' <P>;XY;!;XY
Ihnen;? ' i: . n @ n;PPER;ihnen;PPER
Ihr;? ' i:6;PPOSAT;ihr;PPOS
Ihre;? ' i: . r @;PPOSAT;ihr e;PPOS INFL
Ihren;? ' i: . r @ n;PPOSAT;ihr en;PPOS INFL
Iii-iicch;' i: C;NN;iii - iicch;NN MFG NN
Im;? ' I m;APPRART;im;ADP
Immer;? ' I m . 6;ADV;immer;ADV
In;? ' I n;APPR;in;ADP
Informationen;? I n . f O6 . m a . t s j ' o: . n @ n;NN;in form ation en;ADP NN SFX INFL
Infos;? ' I n . f o: s;NN;info s;NN INFL
Innenstadt;? ' I n . @ n . S t a t;NN;innen stadt;ADV NN
Inneren;? ' I n . @ . r @ n;NN;inner en;ADJ INFL
Internet;? ' I n . t 6 . n E t;NN;internet;NN
Inzwischen;? I n . t s v ' I . S @ n;ADV;in zwischen;ADP ADP
Irgendetwas;? I6 . g @ n t . ? ' E t . v a s;NN;irgendetwas;NN
Irgendwann;? ' I6 . g @ n t . v a n;ADV;irgend wann;PRFX PW
Irgendwas;? ' I6 . g @ n t . v a s;NN;irgendwas;NN
Iss;? ' I s;NN;iss;NN
Isst;? ' I s t;NN;isst;NN
Ist;? ' I s t;VAFIN;ist;V
JA;j ' a:;NN;ja;NN
Ja;j ' a:;PTKANT;ja;PTKANT
Jaa;j ' a:;NN;jaa;NN
Jacke;j ' a k . @;NN;jacke;NN
Jacken;j ' a k . @ n;NN;jacke n;NN INFL
Jackenhund;j ' a k . @ n . h U n t;NN;jacke n hund;NN FG NN
Jackentasche;j ' a k . @ n . t a . S @;NN;jacke n tasche;NN FG NN
Jahr;j ' a: r;NN;jahr;NN
Jahre;j ' a: . r @;NN;jahr e;NN INFL
James;d Z ' eI m z;NE;james;NE
Jams;j ' a m s;NN;jams;NN
Jan;j ' a n;NN;jan;NN
Januar;j ' a . n u . a: r;NN;januar;NN
Japanisch;j a . p ' a: . n I S;ADJD;japan isch;NN SFX
Jeans;d Z ' i: n s;NN;jeans;NN
Jeder;j ' e: . d 6;PIDAT;jed er;PI INFL
Jemand;j ' e: . m a n t;PIS;jemand;PI
Jenga;j ' E N . g a;NN;jenga;NN
Jengaspiel;j E N . g a . S p ' i: l;NN;jengaspiel;NN
Jengateil;j ' E N . g a . t aI l;NN;jengateil;NN
Jengaturm;j ' E N . g a . t U6 m;NN;jengaturm;NN
Jenny;d Z ' E n . i;NE;jenny;NE
Jessica;d Z ' E s . i . k a;NN;jessica;NN
Jetzt;j ' E t s t;ADV;jetzt;ADV
Jipi;j I p . ' i:;NN;jipi;NN
Jippie;j I p . ' i:;NN;jippie;NN
John;d Z ' O n;NE;john;NE
Jonas;j ' o: . n a s;NN;jonas;NN
Joski;j ' O s . k i:;NN;joski;NN
Juchhu;j ' U x . h u;NN;juchhu;NN
Juguet;j ' u: . g Y t;NN;juguet;NN
Juhu;j u . h ' u:;NN;juhu;NN
Juli;j ' u: . l i;NN;juli;NN
Julia;j ' u: l . i . a;NN;julia;NN
Jumbo;d Z ' U m . b o;NN;jumbo;NN
Junge;j ' U N . @;NN;jung e;ADJ INFL
Jungen;j ' U N . @ n;NN;jung en;ADJ INFL
Jungens;j ' U N . @ n s;NN;jung en s;ADJ SFX INFL
Jungs;j ' U N s;NN;jung s;ADJ INFL
Jupi;j ' u: . p i;NN;jupi;NN
Juppie;j U p . ' i:;NN;juppie;NN
Justin;dZ ' a s . t I n;NE;justin;NE
Jünger;j ' Y N . 6;NN;jüng er;ADJ INFL
Jürgen;j ' Y6 . g @ n;NE;jürgen;NE
Kabine;k a . b ' i: . n @;NN;kabine;NN
Kabinenbahn;k a . b ' i: . n @ n . b a: n;NN;kabine n bahn;NN FG NN
Kabinenbahnunglück;k a . b ' i: . n @ n . b a: n . ? U n . g l Y k;NN;kabine n bahn un glück;NN FG NN PRFX NN
Kabum;k a . b ' U m;NN;kabum;NN
Kabumsche;k a . b ' u: m . S @;NN;kabumsche;NN
Kacke;k ' a k . @;NN;kacke;NN
Kaffee;k ' a f . e;NN;kaffee;NN
Kakadu;k ' a . k a . d u;NN;kakadu;NN
Kakao;k a . k ' aU;NN;kakao;NN
Kampf;k ' a m p f;NN;kampf;NN
Kann;k ' a n;VMFIN;kann;V
Kannst;k ' a n s t;VMFIN;kann st;V INFL
Kante;k ' a n . t @;NN;kante;NN
Kaplasteinen;k ' a p . l a . S t aI . n @ n;NN;kaplasteinen;NN
Karte;k ' a r . t @;NN;karte;NN
Karton;k a r . t ' O N;NN;karton;NN
Kartons;k a r . t ' O N s;NN;karton s;NN INFL
Kasse;k ' a s . @;NN;kasse;NN
Kasten;k ' a s . t @ n;NN;kasten;NN
Katesort;k ' a: . t @ . z O6 t;NN;kat e sort;NN FG V
Kati;k ' a: . t i;NN;kati;NN
Katze;k ' a t . s @;NN;katze;NN
Kaugummi;k ' aU . g U m . i;NN;kau gummi;V NN
Kaum;k ' aU m;ADV;kaum;ADV
Kaxone;k a k . s ' o: . n @;NN;kaxone;NN
Kein;k ' aI n;PIAT;kein;PI
Keine;k ' aI . n @;PIAT;kein e;PI INFL
Keiner;k ' aI . n 6;PIS;kein er;PI INFL
Keks;k ' e: k s;NN;keks;NN
Kekschen;k ' e: k s . C @ n;NN;keks chen;NN SFX
Kekse;k ' e: k . s @;NN;keks e;NN INFL
Keksen;k ' e: k . s @ n;NN;keks en;NN INFL
Keller;k ' E l . 6;NN;keller;NN
Ketschup;k ' E t . S U p;NN;ketschup;NN
Kette;k ' E t . @;NN;kette;NN
Kiki;k ' I k . i;NN;kiki;NN
Kim;k ' I m;NN;kim;NN
Kind;k ' I n t;NN;kind;NN
Kinder;k ' I n . d 6;NN;kind er;NN INFL
Kindern;k ' I n . d 6 n;NN;kind er n;NN SFX INFL
Kinderzimmerfenster;k ' I n . d 6 . t s I m . 6 . f E n s . t 6;NN;kind er zimmer fenster;NN PRFX NN NN
Kino;k ' i: . n o;NN;kino;NN
Kiosk;k ' i: . O s k;NN;kiosk;NN
Kipley;k ' I p . l EI;NN;kipley;NN
Kirmes;k ' I 6 . m @ s;NN;kirmes;NN
Kiste;k ' I s . t @;NN;kiste;NN
Kisten;k ' I s . t @ n;NN;kiste n;NN INFL
Kit;k ' I t;NN;kit;NN
Klammer;k l ' a m . 6;NN;klamm er;NN INFL
Klar;k l ' a: r;ADJD;klar;ADJ
Klasse;k l ' a s . @;NN;klasse;NN
Klassen;k l ' a s . @ n;NN;klasse n;NN INFL
Klassenfahrt;k l ' a s . @ n . f a: r t;NN;klasse n fahrt;NN FG NN
Klassenkameraden;k l ' a s . @ n . k a . m @ . r a: . d @ n;NN;klassenkameraden;NN
Klassenlehrerin;k l ' a s . @ n . l e: . r @ . r I n;NN;klasse n lehr er in;NN FG V SFX SFX
Klassenraum;k l ' a s . @ n . r aU m;NN;klasse n raum;NN FG NN
Klassenräume;k l ' a s . @ n . r OY . m @;NN;klasse n räum e;NN FG NN INFL
Klassenzimmer;k l ' a s . @ n . t s I m . 6;NN;klasse n zimmer;NN FG NN
Klaus;k l ' aU s;NE;klaus;NE
Klebeband;k l ' e: . b @ . b a n t;NN;kleb e band;V FG NN
Kleber;k l ' e: . b 6;NN;kleb er;V SFX
Kleine;k l ' aI . n @;ADJA;klein e;ADJ INFL
Kleiner;k l ' aI . n 6;NN;klein er;ADJ INFL
Kleines;k l ' aI . n @ s;NN;klein es;ADJ INFL
Kleinigkeit;k l ' aI . n I C . k aI t;NN;klein igkeit;ADJ SFX
Klettergerüst;k l ' E t . 6 . g @ . r Y s t;NN;kletter ge rüst;V PRFX V
Klingeklingelding;k l ' I N . @ . k l I N . @ l . d I N;NN;kling e klingel ding;V FG NN NN
Klingel;k l ' I N . @ l;NN;klingel;NN
Klingeln;k l ' I N . @ l n;NN;klingel n;NN INFL
Klingelt;k l ' I N . @ l t;NN;klingelt;NN
Klippe;k l ' I p . @;NN;klippe;NN
Klopfen;k l ' O p . f @ n;NN;klopf en;V INFL
Klose;k l ' o: . z @;NN;klos e;NN INFL
Klotz;k l ' O t s;NN;klotz;NN
Klotztraum;k l ' O t s . t r aU m;NN;klotz traum;NN NN
Klötze;k l ' 9 t . s @;NN;klötz e;NN INFL
Klötzen;k l ' 9 t . s @ n;NN;klötz en;NN INFL
Kmte;k m t ' @;NN;kmte;NN
Knabberessen;k n ' a b . 6 . ? E s . @ n;NN;knabber ess en;V V INFL
Knacker;k n ' a k . 6;NN;knack er;V SFX
Knacks;k n ' a k s;NN;knack s;V INFL
Knall;k n ' a l;NN;knall;NN
Knallte;k n ' a l . t @;NN;knall t e;NN SFX INFL
Knapp;k n ' a p;ADV;knapp;ADV
Knie;k n ' i:;NN;knie;NN
Knobelaufgabe;k n ' o: . b @ l . ? aU f . g a: . b @;NN;knobel auf gab e;V PRFX V INFL
Knochen;k n ' O . x @ n;NN;knochen;NN
Knochenkekse;k n ' O . x @ n . k e: k . s @;NN;knochen keks e;NN NN INFL
Knochenleckerlis;k n ' O . x @ n . l E k . 6 . l i: s;NN;knochenleckerlis;NN
Knochens;k n ' O . x @ n s;NN;knochen s;NN INFL
Knopf;k n ' O p f;NN;knopf;NN
Knoten;k n ' o: . t @ n;NN;knot en;V INFL
Koch;k ' O x;NE;koch;NE
Koffer;k ' O f . 6;NN;koffer;NN
Koko;k ' o: . k o;NN;koko;NN
Kollege;k O l . ' e: . g @;NN;kolleg e;NN INFL
Komisches;k ' o: . m I . S @ s;NN;ko misch es;PRFX V INFL
Komm;k ' O m;VVIMP;komm;V
Komm-her-Zeichen;k O m . h ' E:6 . t s aI . C @ n;NN;komm - her - zeichen;V MFG PTKVZ MFG NN
Kommst;k ' O m s t;VVFIN;komm st;V INFL
Kommt;k ' O m t;VVFIN;komm t;V INFL
Kommzeichen;k ' O m . t s aI . C @ n;NN;komm zeichen;V NN
Konigsstraße;k ' o: . n I C s . S t r a: . s @;NN;konigsstraße;NN
Kontrolle;k O n . t r ' O l . @;NN;kontroll e;V INFL
Kopf;k ' O p f;NN;kopf;NN
Kopfschmerzen;k ' O p f . S m E6 . t s @ n;NN;kopf schmerz en;NN NN INFL
Kopfweh;k ' O p f . v e:;NN;kopf weh;NN NN
Kopiert;k o . p ' i:6 t;NN;kopiert;NN
Korb;k ' O6 p;NN;korb;NN
Kordel;k ' O6 . d @ l;NN;kordel;NN
Kraaasching;k r a: . S ' I N;NN;kraaasching;NN
Krabums;k r a . b ' U m s;NN;krabums;NN
Krach;k r ' a x;NN;krach;NN
Kraft;k r ' a f t;NN;kraft;NN
Krallen;k r ' a l . @ n;NN;kralle n;NN INFL
Krankenhaus;k r ' a N . k @ n . h aU s;NN;kranke n haus;NN FG NN
Krauser;k r ' aU . z 6;NN;krauser;NN
Kreide;k r ' aI . d @;NN;kreide;NN
Kreis;k r ' aI s;NN;kreis;NN
Kreppband;k r ' E p . b a n t;NN;krepp band;NN NN
Kreuzfahrtschule;k r ' OY t s . f a: r t . S u: . l @;NN;kreuz fahrt schul e;NN NN V INFL
Kreuzung;k r ' OY . t s U N;NN;kreuz ung;NN SFX
Krieg;k r ' i: k;NN;krieg;NN
Kruf;k r ' u: f;NN;kruf;NN
Krückstock;k r ' Y k . S t O k;NN;krückstock;NN
Krümel;k r ' y: . m @ l;NN;krümel;NN
Krümelmonster;k r ' y: . m @ l . m O n s . t 6;NN;krümelmonster;NN
Kuchen;k ' u: . x @ n;NN;kuchen;NN
Kuck;k ' U k;NN;kuck;NN
Kucken;k ' U k . @ n;NN;kuck en;V INFL
Kuckte;k ' U k . t @;NN;kuckte;NN
Kugel;k ' u: . g @ l;NN;kugel;NN
Kugeln;k ' u: . g @ l n;NN;kugel n;NN INFL
Kugelschreiber;k ' u: . g @ l . S r aI . b 6;NN;kugel schreib er;NN V SFX
Kuh;k ' u:;NN;kuh;NN
Kuli;k ' u: . l i;NN;kuli;NN
Kumpel;k ' U m . p @ l;NN;kumpel;NN
Kumpels;k ' U m . p @ l s;NN;kumpel s;NN INFL
Kunst;k ' U n s t;NN;kunst;NN
Kurve;k ' U6 . v @;NN;kurve;NN
Kurz;k ' U6 t s;ADJD;kurz;ADJ
Kurze;k ' U6 . t s @;ADJA;kurz e;ADJ INFL
Kuss;k ' U s;NN;kuss;NN
Kusshauer;k ' U s . h aU . 6;NN;kusshauer;NN
Kärtchen;k ' E6 t . C @ n;NN;kärtchen;NN
Können;k ' 9 n . @ n;VMFIN;könn en;V INFL
Könntest;k ' 9 n . t @ s t;NN;könn test;V NN
Köpfchen;k ' 9 p f . C @ n;NN;köpf chen;NN SFX
Körper;k ' 96 . p 6;NN;körper;NN
Köter;k ' 2: . t 6;NN;köter;NN
Küche;k ' Y . C @;NN;küche;NN
Küchenabteilung;k ' Y . C @ n . ? a p . t aI . l U N;NN;küche n ab teil ung;NN FG PRFX NN SFX
Küsschen;k ' Y s . C @ n;NN;küss chen;NN SFX
L.;? ' E l;SPELL;l.;SPELL
LARS;l ' a r s;NN;lars;NN
LEAS;l ' e: . a s;NN;leas;NN
La;l ' a:;NN;la;NN
Labidat;l a . b i . d ' a: t;NN;labidat;NN
Lachen;l ' a . x @ n;NN;lach en;V INFL
Laden;l ' a: . d @ n;NN;lad en;V INFL
Lakas;l ' a: . k a s;NN;lakas;NN
Lala;l ' a: . l a;NN;lala;NN
Lange;l ' a N . @;NE;lange;NE
Langeweile;l ' a N . @ . v aI . l @;NN;lang e weil e;V FG V INFL
Langsam;l ' a N . z a: m;ADJD;lang sam;ADJ SFX
Lara;l ' a: . r a;NN;lara;NN
Lars;l ' a r s;NN;lars;NN
Lars';l ' a r s;NN;lars';NN
Lass;l ' a s;NN;lass;NN
Laternen;l a . t ' E6 . n @ n;NN;laterne n;NN INFL
Lauf;l ' aU f;VVIMP;lauf;V
Laufbaum;l ' aU f . b aU m;NN;lauf baum;NN NN
Laufbaumhose;l ' aU f . b aU m . h o: . z @;NN;lauf baum hose;NN NN NN
Laufen;l ' aU . f @ n;NN;lauf en;NN INFL
Laufwind;l ' aU f . v I n t;NN;lauf wind;NN NN
Laune;l ' aU . n @;NN;laune;NN
Laura;l ' aU . r a;NN;laura;NN
Laut;l ' aU t;APPR;laut;ADP
Lauter;l ' aU . t 6;NN;laut er;NN INFL
Lea;l ' e: . a;NN;lea;NN
Leaaaaaaa;l ' e: . a:;NN;leaaaaaaa;NN
Leas;l ' e: . a s;NN;leas;NN
Leben;l ' e: . b @ n;NN;leb en;V INFL
Lecker;l ' E k . 6;NN;leck er;NN INFL
Leckerchen;l ' E k . 6 . C @ n;NN;leck er chen;NN SFX SFX
Leckeres;l ' E k . @ . r @ s;NN;leck er es;NN SFX INFL
Leckerli;l ' E k . 6 . l i;NN;leckerli;NN
Leckerlie;l ' E k . 6 . l i:;NN;leckerlie;NN
Leckerlis;l ' E k . 6 . l i: s;NN;leckerlis;NN
Lederband;l ' e: . d 6 . b a n t;NN;leder band;NN NN
Lego;l ' e: . g o;NN;lego;NN
Legos;l ' e: . g o: s;NN;legos;NN
Lehman;l ' e: . m a n;NN;lehman;NN
Lehrer;l ' e: . r 6;NN;lehr er;V SFX
Lehrerin;l ' e: . r @ . r I n;NN;lehr er in;V SFX SFX
Lehrerinnen;l ' e: . r @ . r I n . @ n;NN;lehr e rinne n;V FG NN INFL
Leider;l ' aI . d 6;ADV;leid er;NN INFL
Leine;l ' aI . n @;NN;leine;NN
Leinen;l ' aI . n @ n;NN;leine n;NN INFL
Leise;l ' aI . z @;NN;leise;NN
Leitung;l ' aI . t U N;NN;leit ung;V SFX
Lena;l ' e: . n a;NN;lena;NN
Lenas;l ' e: . n a s;NN;lenas;NN
Leo;l ' e: . o;NN;leo;NN
Leon;l ' e: . O n;NE;leon;NE
Letztens;l ' E t s . t @ n s;NN;letzt en s;ADJ SFX INFL
Leute;l ' OY . t @;NN;leute;NN
Leuten;l ' OY . t @ n;NN;leute n;NN INFL
Leya;l ' aI . a;NN;leya;NN
Licht;l ' I C t;NN;licht;NN
Liebe;l ' i: . b @;NN;lieb e;ADJ INFL
Lieblingsessen;l ' i: p . l I N s . ? E s . @ n;NN;lieb ling s ess en;ADJ SFX FG V INFL
Lieblingsfressen;l ' i: p . l I N s . f r E s . @ n;NN;lieb ling s fress en;ADJ SFX FG V INFL
Lieblingsfutter;l ' i: p . l I N s . f U t . 6;NN;lieb ling s futter;ADJ SFX FG NN
Lieblingsfütterchen;l ' i: p . l I N s . f Y t . 6 . C @ n;NN;lieb ling s fütter chen;ADJ SFX FG V SFX
Lieblingsgeschmack;l ' i: p . l I N s . g @ . S m a k;NN;lieb ling s geschmack;ADJ SFX FG NN
Lieblingshundefutter;l ' i: p . l I N s . h U n . d @ . f U t . 6;NN;lieb ling s hund e futter;ADJ SFX FG NN FG NN
Lieblingsknochen;l ' i: p . l I N s . k n O . x @ n;NN;lieb ling s knochen;ADJ SFX FG NN
Lieblingsleckerli;l ' i: p . l I N s . l E k . 6 . l i:;NN;lieblingsleckerli;NN
Lieblingsspiel;l ' i: p . l I N s . S p i: l;NN;lieb ling s spiel;ADJ SFX FG NN
Lieblingstag;l ' i: p . l I N s . t a: k;NN;lieb ling s tag;ADJ SFX FG NN
Lieblingsteddy;l ' i: p . l I N s . t E d . i;NN;lieb ling s teddy;ADJ SFX FG NN
Lieblingsteddybär;l ' i: p . l I N s . t E d . i . b E:6;NN;lieb ling s teddy bär;ADJ SFX FG NN NN
Lieblingsteddybären;l ' i: p . l I N s . t E d . i . b E: . r @ n;NN;lieb ling s teddy bär en;ADJ SFX FG NN NN INFL
Lieblingstiere;l ' i: p . l I N s . t i: . r @;NN;lieb ling s tier e;ADJ SFX FG NN INFL
Lied;l ' i: t;NN;lied;NN
Liegen;l ' i: . g @ n;VVFIN;lieg en;V INFL
Lift;l ' I f t;NN;lift;NN
Limokugel;l ' I . m o . k u: . g @ l;NN;limokugel;NN
Linda;l ' I n . d a;NN;linda;NN
Lindenerstr.;l ' I n . d @ . n 6 . s t r;NN;lindenerstr.;NN
Linus;l ' i: . n U s;NN;linus;NN
Lisa;l ' i: . z a;NN;lisa;NN
Liter;l ' i: . t 6;NN;liter;NN
Loch;l ' O x;NN;loch;NN
Lodo;l ' o: . d o;NN;lodo;NN
Lolli;l ' O l . i;NN;lolli;NN
Lollipop;l ' O l . i . p O p;NN;lollipop;NN
Los;l ' o: s;ITJ;los;ITJ
Luca;l ' u: . k a;NN;luca;NN
Lucas;l ' u: . k a s;NE;lucas;NE
Luft;l ' U f t;NN;luft;NN
Luigi;l u . ' i: . dZ i;NN;luigi;NN
Luis;l ' u: . i s;NN;luis;NN
Lukas;l ' u: . k a s;NN;lukas;NN
Lulu;l ' u: . l u;NN;lulu;NN
Lust;l ' U s t;NN;lust;NN
Lustig;l ' U s . t I C;ADJD;lust ig;NN SFX
Lustiges;l ' U s . t I . g @ s;NN;lust ig es;NN SFX INFL
Lutschen;l ' U t . S @ n;NN;lutsch en;V INFL
Lutscher;l ' U t . S 6;NN;lutsch er;V SFX
Lächeln;l ' E . C @ l n;NN;lächel n;V INFL
Läden;l ' E: . d @ n;NN;läden;NN
Länder;l ' E n . d 6;NN;länd er;NN INFL
Lärm;l ' E6 m;NN;lärm;NN
Löcher;l ' 9 . C 6;NN;löch er;NN INFL
Lösung;l ' 2: . z U N;NN;lös ung;V SFX
Lümmel;l ' Y m . @ l;NN;lümmel;NN
Ma;m ' a:;NN;ma;NN
Mach;m ' a x;VVIMP;mach;V
Machen;m ' a . x @ n;VVIMP;mach en;V INFL
Machte;m ' a x . t @;CARD;machte;CARD
Madam;m a . d ' a m;NN;madam;NN
Mafia;m ' a . f j a:;NN;mafia;NN
Magen;m ' a: . g @ n;NN;magen;NN
Mal;m ' a: l;NN;mal;NN
Mal-Aufgabe;m ' a: l . ? aU f . g a: . b @;NN;mal - auf gab e;ADV MFG PTKVZ V INFL
Mal-Aufgaben;m ' a: l . ? aU f . g a: . b @ n;NN;mal - auf gab en;ADV MFG PTKVZ V INFL
Mama;m ' a . m a;NN;mama;NN
Mami;m ' a . m i;NN;mami;NN
Man;m ' a n;PIS;man;PI
Mann;m ' a n;NN;mann;NN
Mansen;m ' a n . z @ n;NN;mansen;NN
Mantel;m ' a n . t @ l;NN;mantel;NN
Marcel;m a r . s ' E l;NE;marcel;NE
Mari;m ' a: . r i:;NN;mari;NN
Mario;m ' a: . r I . o:;NN;mario;NN
Markstraße;m ' a r k . S t r a: . s @;NN;mark straße;NN NN
Marmeladen;m a r . m @ . l ' a: . d @ n;NN;marmelade n;NN INFL
Martins;m ' a r . t i: n s;NN;martins;NN
Mathe;m ' a . t @;NN;mathe;NN
Mathe-Aufgaben;m ' a . t @ . ? aU f . g a: . b @ n;NN;mathe - auf gab en;NN MFG PTKVZ V INFL
Mathearbeit;m ' a . t @ . ? a r . b aI t;NN;mathe arbeit;NN NN
Matheaufgabe;m ' a . t @ . ? aU f . g a: . b @;NN;mathe auf gab e;NN PRFX V INFL
Matheaufgaben;m ' a . t @ . ? aU f . g a: . b @ n;NN;mathe auf gab en;NN PRFX V INFL
Matheblatt;m ' a . t @ . b l a t;NN;mathe blatt;NN NN
Mathebuch;m ' a . t @ . b u: x;NN;mathe buch;NN NN
Mathelehrerin;m ' a . t @ . l e: . r @ . r I n;NN;mathe lehr er in;NN V SFX SFX
Mathematik;m a . t @ . m a . t ' i: k;NN;mathematik;NN
Mathematikaufgaben;m a . t @ . m a . t ' i: k . ? aU f . g a: . b @ n;NN;mathematik auf gab en;NN PRFX V INFL
Mathematiklehrerin;m a . t @ . m a . t ' i: k . l e: . r @ . r I n;NN;mathematik lehr er in;NN V SFX SFX
Mathematikmappe;m a . t @ . m a . t ' i: k . m a p . @;NN;mathematik mappe;NN NN
Mathematiktest;m a . t @ . m a . t ' i: k . t E s t;NN;mathematik test;NN NN
Mathematikunterricht;m a . t @ . m a . t ' i: k . ? U n . t 6 . r I C t;NN;mathematik unter richt;NN PRFX V
Mathestunde;m ' a . t @ . S t U n . d @;NN;mathe stunde;NN NN
Mathetest;m ' a . t @ . t E s t;NN;mathe test;NN NN
Matheunterricht;m ' a . t @ . ? U n . t 6 . r I C t;NN;mathe unter richt;NN PRFX V
Mathezeit;m ' a . t @ . t s aI t;NN;mathe zeit;NN NN
Matinelli;m a . t i: . n ' E l . I;NN;matinelli;NN
Mauer;m ' aU . 6;NN;mauer;NN
Maul;m ' aU l;NN;maul;NN
Max;m ' a k s;XY;max;XY
Maxi;m ' a k . s i;NN;maxi;NN
Maximilian;m a k . s i . m ' i: . l i . a: n;NN;maximilian;NN
Mayer;m ' aI . 6;NN;mayer;NN
Mayers;m ' aI . 6 s;NN;mayers;NN
Maysbonne;m ' aI s . b O n . @;NN;maysbonne;NN
Mechael;m ' E . C a . ? e: l;NN;mechael;NN
Mediamarkt;m ' e: . d j a . m a r k t;NN;media markt;NE NN
Meier;m ' aI . 6;NN;meier;NN
Meik;m ' aI k;NN;meik;NN
Mein;m ' aI n;PPOSAT;mein;PPOS
Meine;m ' aI . n @;PPOSAT;mein e;PPOS INFL
Meinen;m ' aI . n @ n;NN;mein en;V INFL
Meinung;m ' aI . n U N;NN;mein ung;V SFX
Meldung;m ' E l . d U N;NN;meld ung;V SFX
Meluda;m e . l ' u: . d a;NN;meluda;NN
Mensch;m ' E n S;NN;mensch;NN
Menschen;m ' E n . S @ n;NN;mensch en;NN INFL
Meter;m ' e: . t 6;NN;meter;NN
Meyer;m ' aI . 6;NE;meyer;NE
Mhm;m;PTKANT;mhm;PTKANT
Michael;m ' I . C a . ? e: l;NE;michael;NE
Micherel;m I . C @ . r ' E l;NN;micherel;NN
Mickel;m ' I k . @ l;NN;mickel;NN
Miek;m ' i: k;NN;miek;NN
Millo;m ' I l . o;NN;millo;NN
Min.;m ' I n;SPELL;min.;SPELL
Minigondel;m ' i . n i . g O n . d @ l;NN;mini gondel;PRFX NN
Minute;m i . n ' u: . t @;NN;minute;NN
Minuten;m i . n ' u: . t @ n;NN;minute n;NN INFL
Mir;m ' i:6;PPER;mir;PPER
Miss;m ' I s;FM;miss;FM
Misses;m ' I s . @ s;NN;misses;NN
Missgeschehen;m ' I s . g @ . S e: . @ n;NN;miss gescheh en;PRFX V INFL
Missgeschick;m ' I s . g @ . S I k;NN;miss ge schick;PRFX PRFX V
Missglückte;m I s . g l ' Y k . t @;NN;miss glück t e;PRFX NN SFX INFL
Mission;m I s . j ' o: n;NN;mission;NN
Missverständnis;m I s . f E6 . S t ' E n t . n I s;NN;miss ver ständ nis;PRFX PRFX NN SFX
Mist;m ' I s t;NN;mist;NN
Mistabin;m I s . t a . b ' i: n;NN;mistabin;NN
Mit;m ' I t;APPR;mit;ADP
Mitarbeiter;m ' I t . ? a r . b aI . t 6;NN;mit arbeit er;PTKVZ NN INFL
Mitbewohnerin;m ' I t . b @ . v o: . n @ . r I n;NN;mit be wohn er in;PTKVZ PRFX V SFX SFX
Mitfahrer;m ' I t . f a: . r 6;NN;mit fahr er;PTKVZ V SFX
Mitleid;m ' I t . l aI t;NN;mit leid;PTKVZ V
Mitschüler;m ' I t . S y: . l 6;NN;mit schül er;PTKVZ NN INFL
Mittag;m ' I t . a: k;NN;mit tag;PTKVZ NN
Mittags;m ' I t . a: k s;ADV;mit tag s;PTKVZ NN SFX
Mittagsschlaf;m ' I t . a: k s . S l a: f;NN;mit tag s schlaf;PTKVZ NN FG NN
Mittagsschläfchen;m ' I t . a: k s . S l E: f . C @ n;NN;mit tag s schläf chen;PTKVZ NN FG V SFX
Mitte;m ' I t . @;NN;mitte;NN
Mitten;m ' I t . @ n;ADV;mitten;ADV
Mittlerweile;m I t . l 6 . v ' aI . l @;ADV;mittler weil e;NN V INFL
Mittwoch;m ' I t . v O x;NN;mittwoch;NN
Mmmh;m;NN;mmmh;NN
Modu;m ' o: . d u;NN;modu;NN
Moment;m o . m ' E n t;NN;moment;NN
Momo;m ' o: . m o;NN;momo;NN
Monster;m ' O n s . t 6;NN;monster;NN
Montag;m ' o: n . t a: k;NN;montag;NN
Montagmorgen;m o: n . t a: k . m ' O6 . g @ n;NN;montag morgen;NN NN
Montagmorgens;m o: n . t a: k . m ' O6 . g @ n s;NN;montag morgen s;NN NN INFL
Montagnachmittag;m o: n . t a: k . n ' a: x . m I t . a: k;NN;montag nach mit tag;NN ADP ADP NN
Mordshunger;m ' O6 t s . h U N . 6;NN;mord s hunger;NN FG NN
Morgen;m ' O6 . g @ n;NN;morgen;NN
Morgens;m ' O6 . g @ n s;ADV;morgen s;NN SFX
Moriz;m ' o: . r I t s;NN;moriz;NN
Mr.;m ' I s . t 6;NE;mr.;NE
Mrs;m ' I s . @ s;NN;mrs;NN
Mrs.;m ' I s . @ s;NE;mrs.;NE
Mund;m ' U n t;NN;mund;NN
Mutter;m ' U t . 6;NN;mutter;NN
Mädchen;m ' E: t . C @ n;NN;mädchen;NN
Mädchenklo;m ' E: t . C @ n . k l o:;NN;mädchen klo;NN NN
Mädchens;m ' E: t . C @ n s;NN;mädchen s;NN INFL
Mädel;m ' E: . d @ l;NN;mädel;NN
Männer;m ' E n . 6;NN;männ er;NN INFL
März;m ' E6 t s;NN;märz;NN
Möchtest;m ' 9 C . t @ s t;VMFIN;möch test;V INFL
Mögliche;m ' 2: k . l I . C @;ADJA;mög lich e;V SFX INFL
Möglichkeit;m ' 2: k . l I C . k aI t;NN;möglich keit;ADJ SFX
Müffelkerl;m ' Y f . E l . k E6 l;NN;müffelkerl;NN
Mühe;m ' y: . @;NN;müh e;V INFL
Mühlheim;m ' y: l . h aI m;NN;mühlheim;NN
Müll;m ' Y l;NN;müll;NN
Müllbeutel;m ' Y l . b OY . t @ l;NN;müll beutel;NN NN
Mülleimer;m ' Y l . ? aI . m 6;NN;müll eimer;NN NN
Müller;m ' Y l . 6;NE;müll er;NN SFX
